,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ARR_DELAY
37150,2005,2,1,CO,BOS,MA,1550,224.0,1597.0,0.0,0.0,194.0,0.0,0.0,194.0
37151,2005,2,7,CO,SEA,WA,2055,273.0,1874.0,0.0,0.0,24.0,0.0,19.0,43.0
37152,2005,2,7,CO,MSY,LA,1849,67.0,305.0,15.0,0.0,9.0,0.0,0.0,24.0
37153,2005,2,5,CO,LAS,NV,1854,200.0,1222.0,0.0,0.0,69.0,0.0,0.0,69.0
37154,2005,2,7,CO,DTW,MI,2040,169.0,1076.0,16.0,0.0,0.0,0.0,0.0,16.0
37155,2005,2,1,CO,CLE,OH,1540,163.0,1091.0,28.0,0.0,15.0,0.0,0.0,43.0
37156,2005,2,1,CO,SJU,PR,1340,255.0,2007.0,0.0,0.0,21.0,0.0,0.0,21.0
37157,2005,2,2,CO,TUL,OK,1735,87.0,429.0,13.0,0.0,14.0,0.0,0.0,27.0
37158,2005,2,4,CO,SEA,WA,940,279.0,1874.0,0.0,2.0,0.0,0.0,16.0,18.0
37159,2005,2,6,CO,FLL,FL,740,141.0,965.0,61.0,0.0,0.0,0.0,0.0,61.0
37160,2005,2,7,CO,MCO,FL,1330,138.0,853.0,0.0,0.0,22.0,0.0,0.0,22.0
37161,2005,2,3,CO,DFW,TX,2100,61.0,224.0,0.0,0.0,12.0,0.0,54.0,66.0
37162,2005,2,6,CO,PHL,PA,1820,191.0,1324.0,24.0,0.0,0.0,0.0,0.0,24.0
37163,2005,2,7,CO,ORD,IL,1035,150.0,925.0,0.0,0.0,59.0,0.0,0.0,59.0
37164,2005,2,6,CO,CLE,OH,740,161.0,1091.0,0.0,0.0,27.0,0.0,0.0,27.0
37165,2005,2,4,CO,BOS,MA,1300,231.0,1597.0,0.0,5.0,0.0,0.0,16.0,21.0
37166,2005,2,5,CO,BOS,MA,1849,209.0,1597.0,11.0,0.0,14.0,0.0,0.0,25.0
37167,2005,2,5,CO,MIA,FL,1035,144.0,964.0,22.0,0.0,0.0,0.0,0.0,22.0
37168,2005,2,1,CO,LGA,NY,1855,201.0,1416.0,27.0,0.0,9.0,0.0,0.0,36.0
37169,2005,2,3,CO,PBI,FL,1842,138.0,956.0,6.0,0.0,4.0,0.0,24.0,34.0
37170,2005,2,2,CO,MCO,FL,1910,139.0,853.0,4.0,0.0,0.0,0.0,55.0,59.0
37171,2005,2,4,CO,EWR,NJ,1545,208.0,1400.0,0.0,0.0,51.0,0.0,0.0,51.0
37172,2005,2,4,CO,SJC,CA,1140,244.0,1609.0,0.0,18.0,0.0,0.0,22.0,40.0
37173,2005,2,6,CO,LAX,CA,1800,220.0,1379.0,11.0,0.0,2.0,0.0,26.0,39.0
37174,2005,2,7,CO,EWR,NJ,1910,206.0,1400.0,5.0,0.0,0.0,0.0,16.0,21.0
37175,2005,2,5,CO,PHX,AZ,1748,170.0,1009.0,0.0,0.0,59.0,0.0,0.0,59.0
37176,2005,2,5,CO,PBI,FL,1842,138.0,956.0,20.0,0.0,0.0,0.0,0.0,20.0
37177,2005,2,4,CO,DCA,VA,750,176.0,1208.0,0.0,0.0,0.0,0.0,210.0,210.0
37178,2005,2,6,CO,SLC,UT,945,194.0,1195.0,91.0,0.0,0.0,0.0,0.0,91.0
37179,2005,2,4,CO,PDX,OR,1740,273.0,1825.0,25.0,0.0,0.0,0.0,0.0,25.0
37180,2005,2,3,CO,FLL,FL,1600,140.0,965.0,0.0,0.0,41.0,0.0,0.0,41.0
37181,2005,2,3,CO,AUS,TX,925,58.0,140.0,0.0,0.0,18.0,0.0,0.0,18.0
37182,2005,2,7,CO,LAX,CA,2110,212.0,1379.0,0.0,0.0,29.0,0.0,0.0,29.0
37183,2005,2,4,CO,SAT,TX,1904,67.0,191.0,152.0,0.0,0.0,0.0,0.0,152.0
37184,2005,2,1,CO,GPT,MS,1859,78.0,376.0,34.0,0.0,15.0,0.0,0.0,49.0
37185,2005,2,7,CO,EWR,NJ,1315,210.0,1400.0,47.0,0.0,5.0,0.0,0.0,52.0
37186,2005,2,4,CO,LGA,NY,1742,201.0,1416.0,0.0,0.0,46.0,0.0,102.0,148.0
37187,2005,2,1,CO,MSP,MN,1859,161.0,1034.0,6.0,0.0,11.0,0.0,0.0,17.0
37188,2005,2,2,CO,SNA,CA,2053,207.0,1347.0,0.0,19.0,0.0,0.0,0.0,19.0
37189,2005,2,7,CO,SAT,TX,1904,67.0,191.0,0.0,0.0,0.0,0.0,26.0,26.0
37190,2005,2,5,CO,ORD,IL,745,150.0,925.0,26.0,0.0,0.0,0.0,0.0,26.0
37191,2005,2,3,CO,PHL,PA,1848,191.0,1324.0,0.0,27.0,0.0,0.0,59.0,86.0
37192,2005,2,4,CO,MSY,LA,1532,68.0,305.0,15.0,0.0,0.0,0.0,0.0,15.0
37193,2005,2,1,CO,TUS,AZ,915,157.0,936.0,0.0,0.0,19.0,0.0,0.0,19.0
37194,2005,2,7,CO,BOS,MA,1300,225.0,1597.0,30.0,0.0,0.0,0.0,0.0,30.0
37195,2005,2,6,CO,ELP,TX,1755,116.0,667.0,12.0,0.0,0.0,0.0,15.0,27.0
37196,2005,2,3,CO,SAT,TX,1530,57.0,191.0,28.0,0.0,17.0,0.0,0.0,45.0
37197,2005,2,3,CO,LAX,CA,750,218.0,1379.0,0.0,0.0,21.0,0.0,0.0,21.0
37198,2005,2,3,CO,DFW,TX,1854,74.0,224.0,0.0,0.0,20.0,0.0,0.0,20.0
37199,2005,2,4,CO,SAN,CA,1205,203.0,1303.0,0.0,0.0,15.0,0.0,27.0,42.0
37200,2005,2,6,CO,MSY,LA,1430,69.0,305.0,0.0,0.0,0.0,0.0,45.0,45.0
37201,2005,2,3,CO,TPA,FL,1330,132.0,787.0,0.0,0.0,17.0,0.0,0.0,17.0
37202,2005,2,6,CO,LGA,NY,1052,188.0,1416.0,0.0,0.0,19.0,0.0,0.0,19.0
37203,2005,2,2,CO,BWI,MD,1859,173.0,1235.0,0.0,0.0,43.0,0.0,0.0,43.0
37204,2005,2,7,CO,EWR,NJ,1910,209.0,1400.0,22.0,0.0,0.0,0.0,0.0,22.0
37205,2005,2,3,CO,DEN,CO,1744,154.0,862.0,6.0,0.0,17.0,0.0,0.0,23.0
37206,2005,2,1,CO,DTW,MI,1540,169.0,1076.0,17.0,0.0,0.0,0.0,0.0,17.0
37207,2005,2,2,CO,HNL,HI,935,510.0,3904.0,0.0,0.0,38.0,0.0,0.0,38.0
37208,2005,2,1,CO,MCI,MO,1904,120.0,643.0,0.0,0.0,36.0,0.0,0.0,36.0
37209,2005,2,6,CO,PDX,OR,1750,268.0,1825.0,43.0,0.0,0.0,0.0,0.0,43.0
37210,2005,2,6,CO,SAT,TX,1810,60.0,191.0,54.0,0.0,7.0,0.0,0.0,61.0
37211,2005,2,7,CO,DEN,CO,1745,148.0,862.0,0.0,0.0,29.0,0.0,0.0,29.0
37212,2005,2,7,CO,CMH,OH,1854,144.0,986.0,38.0,0.0,7.0,0.0,0.0,45.0
37213,2005,2,4,CO,OGG,HI,1215,510.0,3826.0,0.0,27.0,3.0,0.0,0.0,30.0
37214,2005,2,3,CO,ATL,GA,800,118.0,689.0,0.0,0.0,21.0,0.0,0.0,21.0
37215,2005,2,1,CO,DEN,CO,735,149.0,862.0,0.0,0.0,15.0,0.0,0.0,15.0
37216,2005,2,3,CO,RNO,NV,935,240.0,1530.0,0.0,0.0,40.0,0.0,0.0,40.0
37217,2005,2,7,CO,SJC,CA,915,245.0,1609.0,35.0,0.0,3.0,0.0,0.0,38.0
37218,2005,2,4,CO,ORD,IL,1844,154.0,925.0,0.0,0.0,46.0,0.0,0.0,46.0
37219,2005,2,3,CO,TPA,FL,1330,127.0,787.0,0.0,0.0,30.0,0.0,0.0,30.0
37220,2005,2,1,CO,PHL,PA,900,199.0,1324.0,0.0,0.0,35.0,0.0,0.0,35.0
37221,2005,2,5,CO,CLE,OH,1849,155.0,1091.0,6.0,0.0,9.0,0.0,0.0,15.0
37222,2005,2,5,CO,LAX,CA,915,219.0,1379.0,0.0,0.0,19.0,0.0,0.0,19.0
37223,2005,2,6,CO,FLL,FL,1600,140.0,965.0,0.0,0.0,44.0,0.0,26.0,70.0
37224,2005,2,7,CO,LAS,NV,1854,200.0,1222.0,2.0,0.0,22.0,0.0,11.0,35.0
37225,2005,2,5,CO,LAS,NV,1210,200.0,1222.0,0.0,0.0,63.0,0.0,0.0,63.0
37226,2005,2,7,CO,PBI,FL,1335,139.0,956.0,0.0,0.0,96.0,0.0,0.0,96.0
37227,2005,2,4,CO,BOS,MA,1849,216.0,1597.0,0.0,0.0,29.0,0.0,0.0,29.0
37228,2005,2,2,CO,CLE,OH,1540,163.0,1091.0,0.0,0.0,19.0,0.0,0.0,19.0
37229,2005,2,6,CO,PHX,AZ,1047,174.0,1009.0,11.0,0.0,10.0,0.0,0.0,21.0
37230,2005,2,1,CO,MIA,FL,1035,143.0,964.0,39.0,0.0,0.0,0.0,0.0,39.0
37231,2005,2,7,CO,LAX,CA,1320,216.0,1379.0,0.0,0.0,15.0,0.0,0.0,15.0
37232,2005,2,4,CO,ONT,CA,2058,205.0,1334.0,0.0,6.0,13.0,0.0,0.0,19.0
37233,2005,2,3,CO,SJU,PR,1340,254.0,2007.0,0.0,0.0,57.0,0.0,0.0,57.0
37234,2005,2,1,CO,MCO,FL,750,128.0,853.0,0.0,0.0,20.0,0.0,0.0,20.0
37235,2005,2,4,CO,LGA,NY,905,200.0,1416.0,0.0,0.0,95.0,0.0,0.0,95.0
37236,2005,2,2,CO,ORD,IL,1540,162.0,925.0,15.0,0.0,0.0,0.0,0.0,15.0
37237,2005,2,4,CO,HDN,CO,1145,168.0,986.0,35.0,0.0,0.0,0.0,0.0,35.0
37238,2005,2,7,CO,SAT,TX,2100,52.0,191.0,0.0,0.0,17.0,0.0,0.0,17.0
37239,2005,2,4,CO,SEA,WA,1205,276.0,1874.0,17.0,0.0,0.0,0.0,0.0,17.0
37240,2005,2,6,CO,SFO,CA,2010,238.0,1635.0,17.0,0.0,23.0,0.0,0.0,40.0
37241,2005,2,3,CO,LAS,NV,1210,200.0,1222.0,0.0,0.0,13.0,0.0,19.0,32.0
37242,2005,2,5,CO,LGA,NY,1855,195.0,1416.0,0.0,0.0,38.0,0.0,0.0,38.0
37243,2005,2,7,CO,SAT,TX,1200,57.0,191.0,0.0,0.0,57.0,0.0,0.0,57.0
37244,2005,2,4,CO,ABQ,NM,1740,137.0,744.0,0.0,0.0,0.0,0.0,30.0,30.0
37245,2005,2,4,CO,PHL,PA,1600,205.0,1324.0,0.0,0.0,26.0,0.0,0.0,26.0
37246,2005,2,1,CO,ATL,GA,1900,121.0,689.0,0.0,0.0,30.0,0.0,0.0,30.0
37247,2005,2,7,CO,OAK,CA,925,245.0,1628.0,0.0,0.0,28.0,0.0,0.0,28.0
37248,2005,2,1,CO,SAN,CA,1745,201.0,1303.0,11.0,0.0,8.0,0.0,0.0,19.0
37249,2005,2,4,CO,LAX,CA,1850,224.0,1379.0,0.0,10.0,43.0,0.0,39.0,92.0
37250,2005,2,7,CO,ATL,GA,1440,112.0,689.0,0.0,0.0,86.0,0.0,0.0,86.0
37251,2005,2,5,CO,MSY,LA,1645,73.0,305.0,22.0,0.0,0.0,0.0,0.0,22.0
37252,2005,2,1,CO,LAS,NV,1755,197.0,1222.0,0.0,0.0,15.0,0.0,0.0,15.0
37253,2005,2,7,CO,PHX,AZ,2054,169.0,1009.0,5.0,0.0,0.0,0.0,25.0,30.0
37254,2005,2,5,CO,LAX,CA,2110,216.0,1379.0,18.0,0.0,8.0,0.0,0.0,26.0
37255,2005,2,5,CO,LAS,NV,2054,195.0,1222.0,0.0,0.0,72.0,0.0,0.0,72.0
37256,2005,2,1,CO,TPA,FL,1906,133.0,787.0,13.0,0.0,2.0,0.0,0.0,15.0
37257,2005,2,1,CO,ORD,IL,1850,154.0,925.0,0.0,0.0,86.0,0.0,0.0,86.0
37258,2005,2,2,CO,ATL,GA,1310,128.0,689.0,0.0,0.0,18.0,0.0,0.0,18.0
37259,2005,2,1,CO,MSY,LA,1435,68.0,305.0,9.0,0.0,0.0,0.0,15.0,24.0
37260,2005,2,3,CO,AUS,TX,755,59.0,140.0,0.0,0.0,21.0,0.0,0.0,21.0
37261,2005,2,4,CO,IND,IN,1905,142.0,845.0,39.0,0.0,15.0,0.0,0.0,54.0
37262,2005,2,7,CO,JAX,FL,1325,125.0,817.0,0.0,3.0,30.0,0.0,5.0,38.0
37263,2005,2,3,CO,ATL,GA,800,118.0,689.0,0.0,0.0,24.0,0.0,0.0,24.0
37264,2005,2,7,CO,TPA,FL,1906,129.0,787.0,26.0,0.0,0.0,0.0,0.0,26.0
37265,2005,2,2,CO,EWR,NJ,1315,204.0,1400.0,14.0,0.0,2.0,0.0,0.0,16.0
37266,2005,2,6,CO,TPA,FL,1605,117.0,787.0,0.0,0.0,8.0,0.0,18.0,26.0
37267,2005,2,2,CO,SFO,CA,1850,267.0,1635.0,0.0,9.0,33.0,0.0,0.0,42.0
37268,2005,2,6,CO,OAK,CA,940,252.0,1628.0,0.0,0.0,15.0,0.0,0.0,15.0
37269,2005,2,4,CO,SEA,WA,2055,273.0,1874.0,7.0,0.0,26.0,0.0,0.0,33.0
37270,2005,2,1,CO,DTW,MI,1857,159.0,1076.0,10.0,0.0,22.0,0.0,0.0,32.0
