,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DISTANCE,LABEL
0,2010,9,6,9E,IAH,ATL,GA,1402,689.0,1
1,2010,9,2,9E,IAH,ATL,GA,1402,689.0,1
2,2010,9,4,9E,IAH,ATL,GA,1402,689.0,0
3,2010,9,5,9E,IAH,ATL,GA,1402,689.0,0
4,2010,9,6,9E,IAH,ATL,GA,1402,689.0,0
5,2010,9,1,9E,IAH,ATL,GA,1402,689.0,0
6,2010,9,2,9E,IAH,ATL,GA,1402,689.0,0
7,2010,9,4,9E,IAH,ATL,GA,1402,689.0,0
8,2010,9,5,9E,IAH,ATL,GA,1402,689.0,0
9,2010,9,6,9E,IAH,ATL,GA,1402,689.0,0
10,2010,9,1,9E,IAH,ATL,GA,1402,689.0,1
11,2010,9,2,9E,IAH,ATL,GA,1402,689.0,0
12,2010,9,4,9E,IAH,ATL,GA,1402,689.0,0
13,2010,9,5,9E,IAH,ATL,GA,1402,689.0,0
14,2010,9,1,9E,IAH,ATL,GA,1402,689.0,3
15,2010,9,2,9E,IAH,ATL,GA,1402,689.0,0
16,2010,9,4,9E,IAH,ATL,GA,1402,689.0,0
17,2010,9,7,9E,IAH,ATL,GA,915,689.0,0
18,2010,9,3,9E,IAH,MEM,TN,1620,469.0,0
19,2010,9,4,9E,IAH,MEM,TN,1620,469.0,0
20,2010,9,5,9E,IAH,MEM,TN,1620,469.0,0
21,2010,9,1,9E,IAH,MEM,TN,1620,469.0,1
22,2010,9,2,9E,IAH,MEM,TN,1620,469.0,1
23,2010,9,3,9E,IAH,MEM,TN,1620,469.0,0
24,2010,9,4,9E,IAH,MEM,TN,1620,469.0,0
25,2010,9,5,9E,IAH,MEM,TN,1620,469.0,0
26,2010,9,1,9E,IAH,MEM,TN,1620,469.0,0
27,2010,9,2,9E,IAH,MEM,TN,1620,469.0,0
28,2010,9,3,9E,IAH,MEM,TN,1620,469.0,0
29,2010,9,4,9E,IAH,MEM,TN,1620,469.0,0
30,2010,9,5,9E,IAH,MEM,TN,1620,469.0,0
31,2010,9,1,9E,IAH,MEM,TN,1620,469.0,0
32,2010,9,2,9E,IAH,MEM,TN,1620,469.0,0
33,2010,9,3,9E,IAH,MEM,TN,1620,469.0,0
34,2010,9,4,9E,IAH,MEM,TN,1620,469.0,0
35,2010,9,5,9E,IAH,MEM,TN,1620,469.0,0
36,2010,9,7,9E,IAH,MEM,TN,1620,469.0,0
37,2010,9,1,9E,IAH,MEM,TN,1620,469.0,0
38,2010,9,2,9E,IAH,MEM,TN,1620,469.0,0
39,2010,9,3,9E,IAH,MEM,TN,1620,469.0,0
40,2010,9,4,9E,IAH,MEM,TN,1620,469.0,0
41,2010,9,6,9E,IAH,ATL,GA,915,689.0,0
42,2010,9,3,9E,IAH,ATL,GA,1240,689.0,3
43,2010,9,4,9E,IAH,ATL,GA,1240,689.0,0
44,2010,9,5,9E,IAH,ATL,GA,1240,689.0,0
45,2010,9,6,9E,IAH,ATL,GA,1240,689.0,0
46,2010,9,7,9E,IAH,ATL,GA,1240,689.0,0
47,2010,9,1,9E,IAH,ATL,GA,1240,689.0,0
48,2010,9,2,9E,IAH,ATL,GA,1240,689.0,0
49,2010,9,3,9E,IAH,ATL,GA,1240,689.0,0
50,2010,9,4,9E,IAH,ATL,GA,1240,689.0,0
51,2010,9,5,9E,IAH,ATL,GA,1240,689.0,0
52,2010,9,6,9E,IAH,ATL,GA,1240,689.0,0
53,2010,9,7,9E,IAH,ATL,GA,1240,689.0,0
54,2010,9,1,9E,IAH,ATL,GA,1240,689.0,0
55,2010,9,2,9E,IAH,ATL,GA,1240,689.0,0
56,2010,9,3,9E,IAH,ATL,GA,1240,689.0,0
57,2010,9,4,9E,IAH,ATL,GA,1240,689.0,0
