,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DISTANCE,LABEL
0,2010,12,4,9E,IAH,ATL,GA,1246,689.0,0
1,2010,12,5,9E,IAH,ATL,GA,1246,689.0,1
2,2010,12,6,9E,IAH,ATL,GA,1246,689.0,0
3,2010,12,7,9E,IAH,ATL,GA,1246,689.0,0
4,2010,12,1,9E,IAH,ATL,GA,1246,689.0,0
5,2010,12,4,9E,IAH,ATL,GA,1246,689.0,0
6,2010,12,5,9E,IAH,ATL,GA,1246,689.0,0
7,2010,12,6,9E,IAH,ATL,GA,1246,689.0,1
8,2010,12,7,9E,IAH,ATL,GA,1246,689.0,1
9,2010,12,1,9E,IAH,ATL,GA,1246,689.0,0
10,2010,12,4,9E,IAH,ATL,GA,1246,689.0,1
11,2010,12,5,9E,IAH,ATL,GA,1246,689.0,1
12,2010,12,4,9E,IAH,ATL,GA,1355,689.0,1
13,2010,12,5,9E,IAH,ATL,GA,1355,689.0,0
14,2010,12,6,9E,IAH,ATL,GA,1355,689.0,0
15,2010,12,7,9E,IAH,ATL,GA,1355,689.0,0
16,2010,12,1,9E,IAH,ATL,GA,1355,689.0,1
17,2010,12,2,9E,IAH,ATL,GA,1355,689.0,0
18,2010,12,4,9E,IAH,ATL,GA,1355,689.0,0
19,2010,12,5,9E,IAH,ATL,GA,1355,689.0,0
20,2010,12,6,9E,IAH,ATL,GA,1355,689.0,0
21,2010,12,7,9E,IAH,ATL,GA,1355,689.0,1
22,2010,12,1,9E,IAH,ATL,GA,1355,689.0,0
23,2010,12,2,9E,IAH,ATL,GA,1355,689.0,3
24,2010,12,3,9E,IAH,ATL,GA,1355,689.0,1
25,2010,12,4,9E,IAH,ATL,GA,1355,689.0,0
26,2010,12,5,9E,IAH,ATL,GA,1355,689.0,0
27,2010,12,7,9E,IAH,ATL,GA,1449,689.0,0
28,2010,12,1,9E,IAH,ATL,GA,1449,689.0,0
29,2010,12,2,9E,IAH,ATL,GA,1449,689.0,0
30,2010,12,3,9E,IAH,ATL,GA,1449,689.0,0
31,2010,12,4,9E,IAH,ATL,GA,1449,689.0,0
32,2010,12,5,9E,IAH,ATL,GA,1449,689.0,0
33,2010,12,7,9E,IAH,ATL,GA,1449,689.0,0
34,2010,12,1,9E,IAH,ATL,GA,1449,689.0,0
35,2010,12,2,9E,IAH,ATL,GA,1449,689.0,1
36,2010,12,3,9E,IAH,ATL,GA,1449,689.0,0
37,2010,12,4,9E,IAH,ATL,GA,1449,689.0,0
38,2010,12,5,9E,IAH,ATL,GA,1449,689.0,0
39,2010,12,6,9E,IAH,MEM,TN,1145,469.0,0
40,2010,12,6,9E,IAH,MEM,TN,1620,469.0,0
41,2010,12,7,9E,IAH,MEM,TN,1620,469.0,0
42,2010,12,1,9E,IAH,MEM,TN,1620,469.0,0
43,2010,12,2,9E,IAH,MEM,TN,1620,469.0,0
44,2010,12,3,9E,IAH,MEM,TN,1620,469.0,0
45,2010,12,4,9E,IAH,MEM,TN,1620,469.0,0
46,2010,12,6,9E,IAH,MEM,TN,1620,469.0,0
47,2010,12,7,9E,IAH,MEM,TN,1620,469.0,0
48,2010,12,1,9E,IAH,MEM,TN,1620,469.0,0
49,2010,12,2,9E,IAH,MEM,TN,1620,469.0,0
50,2010,12,3,9E,IAH,MEM,TN,1620,469.0,0
51,2010,12,4,9E,IAH,MEM,TN,1620,469.0,0
