,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ELAPSED_TIME,DISTANCE,ARR_DELAY_NEW
0,2012,7,4,AA,DFW,TX,855,75.0,224.0,18.0
1,2012,7,2,AA,DFW,TX,855,75.0,224.0,1.0
2,2012,7,3,AA,DFW,TX,855,75.0,224.0,95.0
3,2012,7,4,AA,DFW,TX,855,75.0,224.0,74.0
4,2012,7,1,AA,DFW,TX,855,75.0,224.0,1.0
5,2012,7,7,AA,DFW,TX,1800,80.0,224.0,87.0
6,2012,7,1,AA,DFW,TX,1800,80.0,224.0,121.0
7,2012,7,2,AA,DFW,TX,1800,80.0,224.0,2.0
8,2012,7,4,AA,DFW,TX,1800,80.0,224.0,8.0
9,2012,7,5,AA,DFW,TX,1800,80.0,224.0,43.0
10,2012,7,6,AA,DFW,TX,1800,80.0,224.0,28.0
11,2012,7,7,AA,DFW,TX,1800,80.0,224.0,13.0
12,2012,7,1,AA,DFW,TX,1800,80.0,224.0,18.0
13,2012,7,2,AA,DFW,TX,1800,80.0,224.0,32.0
14,2012,7,4,AA,DFW,TX,1800,80.0,224.0,33.0
15,2012,7,5,AA,DFW,TX,1800,80.0,224.0,201.0
16,2012,7,7,AA,DFW,TX,1800,80.0,224.0,20.0
17,2012,7,4,AA,DFW,TX,1800,80.0,224.0,33.0
18,2012,7,5,AA,DFW,TX,1800,80.0,224.0,23.0
19,2012,7,6,AA,DFW,TX,1800,80.0,224.0,1.0
20,2012,7,7,AA,DFW,TX,1955,75.0,224.0,10.0
21,2012,7,1,AA,DFW,TX,1955,75.0,224.0,57.0
22,2012,7,2,AA,DFW,TX,1955,75.0,224.0,25.0
23,2012,7,7,AA,DFW,TX,1955,75.0,224.0,57.0
24,2012,7,1,AA,DFW,TX,1955,75.0,224.0,16.0
25,2012,7,2,AA,DFW,TX,1955,75.0,224.0,41.0
26,2012,7,7,AA,DFW,TX,1955,75.0,224.0,2.0
27,2012,7,4,AA,DFW,TX,1955,75.0,224.0,11.0
28,2012,7,1,AA,DFW,TX,1955,75.0,224.0,13.0
29,2012,7,7,AA,DFW,TX,1420,75.0,224.0,59.0
30,2012,7,1,AA,DFW,TX,1420,75.0,224.0,209.0
31,2012,7,2,AA,DFW,TX,1420,75.0,224.0,2.0
32,2012,7,3,AA,DFW,TX,1420,75.0,224.0,95.0
33,2012,7,4,AA,DFW,TX,1420,75.0,224.0,5.0
34,2012,7,5,AA,DFW,TX,1420,75.0,224.0,189.0
35,2012,7,6,AA,DFW,TX,1420,75.0,224.0,9.0
36,2012,7,7,AA,DFW,TX,1420,75.0,224.0,56.0
37,2012,7,5,AA,DFW,TX,1420,75.0,224.0,75.0
38,2012,7,6,AA,DFW,TX,1420,75.0,224.0,6.0
39,2012,7,7,AA,DFW,TX,1420,75.0,224.0,6.0
40,2012,7,4,AA,DFW,TX,1420,75.0,224.0,10.0
41,2012,7,5,AA,DFW,TX,1420,75.0,224.0,4.0
42,2012,7,2,AA,DFW,TX,1420,75.0,224.0,22.0
43,2012,7,7,AA,DFW,TX,1130,75.0,224.0,28.0
44,2012,7,3,AA,DFW,TX,1130,75.0,224.0,166.0
45,2012,7,4,AA,DFW,TX,1130,75.0,224.0,98.0
46,2012,7,5,AA,DFW,TX,1130,75.0,224.0,189.0
47,2012,7,5,AA,DFW,TX,1130,75.0,224.0,47.0
48,2012,7,6,AA,DFW,TX,1130,75.0,224.0,29.0
49,2012,7,1,AA,DFW,TX,1130,75.0,224.0,9.0
50,2012,7,1,AA,DFW,TX,1130,75.0,224.0,31.0
51,2012,7,7,AA,MIA,FL,1340,155.0,964.0,1.0
52,2012,7,1,AA,MIA,FL,1340,155.0,964.0,5.0
53,2012,7,5,AA,MIA,FL,1340,155.0,964.0,7.0
54,2012,7,6,AA,MIA,FL,1340,155.0,964.0,38.0
55,2012,7,7,AA,MIA,FL,1340,155.0,964.0,12.0
56,2012,7,1,AA,MIA,FL,1340,155.0,964.0,30.0
57,2012,7,4,AA,MIA,FL,1340,155.0,964.0,92.0
58,2012,7,6,AA,MIA,FL,1340,155.0,964.0,20.0
59,2012,7,7,AA,MIA,FL,1340,155.0,964.0,30.0
60,2012,7,1,AA,MIA,FL,1340,155.0,964.0,3.0
61,2012,7,2,AA,MIA,FL,1340,155.0,964.0,7.0
62,2012,7,5,AA,MIA,FL,1340,155.0,964.0,9.0
63,2012,7,6,AA,MIA,FL,1340,155.0,964.0,20.0
64,2012,7,7,AA,MIA,FL,1340,155.0,964.0,16.0
65,2012,7,3,AA,MIA,FL,1340,155.0,964.0,11.0
66,2012,7,5,AA,MIA,FL,1340,155.0,964.0,3.0
67,2012,7,1,AA,MIA,FL,1340,155.0,964.0,19.0
68,2012,7,2,AA,MIA,FL,1340,155.0,964.0,3.0
69,2012,7,2,AA,MIA,FL,600,145.0,964.0,7.0
70,2012,7,6,AA,MIA,FL,600,145.0,964.0,8.0
71,2012,7,7,AA,MIA,FL,600,145.0,964.0,2.0
72,2012,7,2,AA,MIA,FL,600,145.0,964.0,9.0
73,2012,7,3,AA,MIA,FL,600,145.0,964.0,25.0
74,2012,7,4,AA,MIA,FL,600,145.0,964.0,6.0
75,2012,7,5,AA,MIA,FL,600,145.0,964.0,32.0
76,2012,7,4,AA,MIA,FL,600,145.0,964.0,138.0
77,2012,7,5,AA,MIA,FL,600,145.0,964.0,17.0
78,2012,7,7,AA,MIA,FL,600,145.0,964.0,2.0
79,2012,7,7,AA,DFW,TX,1615,80.0,224.0,15.0
80,2012,7,4,AA,DFW,TX,1615,80.0,224.0,35.0
81,2012,7,7,AA,DFW,TX,1615,80.0,224.0,64.0
82,2012,7,1,AA,DFW,TX,1615,80.0,224.0,59.0
83,2012,7,2,AA,DFW,TX,1615,80.0,224.0,7.0
84,2012,7,3,AA,DFW,TX,1615,80.0,224.0,27.0
85,2012,7,5,AA,DFW,TX,1615,80.0,224.0,101.0
86,2012,7,6,AA,DFW,TX,1615,80.0,224.0,28.0
87,2012,7,7,AA,DFW,TX,1615,80.0,224.0,63.0
88,2012,7,2,AA,DFW,TX,1615,80.0,224.0,32.0
89,2012,7,3,AA,DFW,TX,1615,80.0,224.0,9.0
90,2012,7,5,AA,DFW,TX,1615,80.0,224.0,292.0
91,2012,7,6,AA,DFW,TX,1615,80.0,224.0,146.0
92,2012,7,2,AA,DFW,TX,1615,80.0,224.0,21.0
93,2012,7,4,AA,DFW,TX,1615,80.0,224.0,57.0
94,2012,7,7,AA,DFW,TX,1800,80.0,224.0,5.0
95,2012,7,1,AA,DFW,TX,1800,80.0,224.0,28.0
96,2012,7,3,AA,DFW,TX,1800,80.0,224.0,8.0
97,2012,7,6,AA,MIA,FL,1755,155.0,964.0,29.0
98,2012,7,7,AA,MIA,FL,1755,155.0,964.0,18.0
99,2012,7,1,AA,MIA,FL,1755,155.0,964.0,39.0
100,2012,7,5,AA,MIA,FL,1755,155.0,964.0,45.0
101,2012,7,7,AA,MIA,FL,1755,155.0,964.0,9.0
102,2012,7,1,AA,MIA,FL,1755,155.0,964.0,13.0
103,2012,7,5,AA,MIA,FL,1755,155.0,964.0,4.0
