,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2011,7,6,AA,IAH,TX,DFW,TX,1640,1805,224.0,1,0,0,0,1
1,2011,7,2,AA,IAH,TX,DFW,TX,2005,2125,224.0,0,1,0,0,1
2,2011,7,4,AA,IAH,TX,DFW,TX,2005,2125,224.0,1,0,0,0,1
3,2011,7,7,AA,IAH,TX,DFW,TX,2005,2125,224.0,0,0,0,0,1
4,2011,7,1,AA,IAH,TX,DFW,TX,2005,2125,224.0,1,0,0,0,1
5,2011,7,5,AA,IAH,TX,DFW,TX,2005,2125,224.0,1,0,0,0,1
6,2011,7,6,AA,IAH,TX,MIA,FL,600,925,964.0,0,0,1,0,0
7,2011,7,6,AA,IAH,TX,MIA,FL,600,925,964.0,1,0,0,0,0
8,2011,7,1,AA,IAH,TX,MIA,FL,1805,2145,964.0,0,0,0,0,1
9,2011,7,3,AA,IAH,TX,MIA,FL,1805,2145,964.0,1,0,0,0,0
10,2011,7,4,AA,IAH,TX,MIA,FL,1805,2145,964.0,1,0,0,0,1
11,2011,7,5,AA,IAH,TX,MIA,FL,1805,2145,964.0,1,0,0,0,0
12,2011,7,7,AA,IAH,TX,MIA,FL,1805,2145,964.0,0,0,1,0,0
13,2011,7,1,AA,IAH,TX,MIA,FL,1805,2145,964.0,0,0,0,0,1
14,2011,7,3,AA,IAH,TX,MIA,FL,1805,2145,964.0,0,1,1,0,0
15,2011,7,5,AA,IAH,TX,MIA,FL,1805,2145,964.0,0,0,0,0,1
16,2011,7,5,AA,IAH,TX,DFW,TX,740,850,224.0,1,0,0,0,0
17,2011,7,5,AA,IAH,TX,DFW,TX,1145,1255,224.0,1,0,0,0,1
18,2011,7,6,AA,IAH,TX,DFW,TX,1145,1255,224.0,1,0,0,0,1
19,2011,7,7,AA,IAH,TX,DFW,TX,1145,1255,224.0,1,0,1,0,1
20,2011,7,6,AA,IAH,TX,DFW,TX,1145,1255,224.0,0,1,1,0,1
21,2011,7,1,AA,IAH,TX,DFW,TX,1145,1255,224.0,0,0,1,0,1
22,2011,7,2,AA,IAH,TX,DFW,TX,1145,1255,224.0,0,0,1,0,0
23,2011,7,1,AA,IAH,TX,DFW,TX,1425,1540,224.0,0,0,1,0,1
24,2011,7,1,AA,IAH,TX,DFW,TX,1425,1540,224.0,1,0,0,0,1
25,2011,7,4,AA,IAH,TX,DFW,TX,1425,1540,224.0,1,0,0,0,1
26,2011,7,7,AA,IAH,TX,DFW,TX,1425,1540,224.0,1,0,0,0,1
27,2011,7,5,AA,IAH,TX,DFW,TX,1425,1540,224.0,0,1,0,0,1
28,2011,7,5,AA,IAH,TX,MIA,FL,1025,1400,964.0,1,0,1,0,1
29,2011,7,3,AA,IAH,TX,MIA,FL,1025,1400,964.0,1,0,1,0,0
30,2011,7,5,AA,IAH,TX,MIA,FL,1025,1400,964.0,0,0,1,0,0
31,2011,7,5,AA,IAH,TX,MIA,FL,1025,1400,964.0,0,0,1,0,0
32,2011,7,3,AA,IAH,TX,DFW,TX,915,1030,224.0,1,0,0,0,0
33,2011,7,5,AA,IAH,TX,DFW,TX,915,1030,224.0,1,0,0,0,0
34,2011,7,4,AA,IAH,TX,DFW,TX,915,1030,224.0,1,0,0,0,1
35,2011,7,2,AA,IAH,TX,DFW,TX,1640,1805,224.0,1,0,0,0,1
36,2011,7,3,AA,IAH,TX,DFW,TX,1640,1805,224.0,0,1,1,0,1
37,2011,7,3,AA,IAH,TX,DFW,TX,1640,1805,224.0,1,0,0,0,1
38,2011,7,1,AA,IAH,TX,DFW,TX,1640,1805,224.0,1,0,0,0,1
39,2011,7,3,AS,IAH,TX,SEA,WA,1840,2104,1874.0,1,0,0,0,0
40,2011,7,4,AS,IAH,TX,SEA,WA,1840,2104,1874.0,0,0,1,0,1
41,2011,7,6,AS,IAH,TX,SEA,WA,1840,2102,1874.0,0,0,0,0,1
42,2011,7,3,AS,IAH,TX,SEA,WA,1840,2102,1874.0,0,0,0,0,1
43,2011,7,5,AS,IAH,TX,SEA,WA,1840,2102,1874.0,0,0,0,0,1
44,2011,7,7,CO,IAH,TX,LAX,CA,1910,2041,1379.0,1,0,1,0,1
45,2011,7,7,CO,IAH,TX,EWR,NJ,1435,1924,1400.0,1,0,0,0,0
46,2011,7,7,CO,IAH,TX,MIA,FL,1940,2317,964.0,1,0,0,0,1
47,2011,7,7,CO,IAH,TX,PIT,PA,1255,1650,1117.0,1,0,1,0,0
48,2011,7,7,CO,IAH,TX,ATL,GA,1605,1912,689.0,1,0,0,0,0
49,2011,7,7,CO,IAH,TX,LAX,CA,2030,2156,1379.0,0,0,1,1,0
50,2011,7,7,CO,IAH,TX,MIA,FL,1408,1750,964.0,1,0,0,0,1
51,2011,7,7,CO,IAH,TX,MCO,FL,1025,1355,854.0,0,0,0,0,1
52,2011,7,7,CO,IAH,TX,SEA,WA,2040,2309,1874.0,1,0,0,0,1
53,2011,7,7,CO,IAH,TX,SEA,WA,1425,1651,1874.0,0,1,0,0,1
54,2011,7,7,CO,IAH,TX,TUL,OK,2055,2227,429.0,1,0,0,0,1
55,2011,7,7,CO,IAH,TX,ORD,IL,1145,1421,925.0,1,0,1,0,1
56,2011,7,7,CO,IAH,TX,SNA,CA,915,1038,1346.0,0,0,1,0,0
57,2011,7,7,CO,IAH,TX,SAT,TX,1250,1347,191.0,1,0,0,0,0
58,2011,7,7,CO,IAH,TX,EWR,NJ,1551,2045,1400.0,0,0,0,0,1
59,2011,7,7,CO,IAH,TX,TPA,FL,1935,2247,787.0,0,0,0,0,1
60,2011,7,7,CO,IAH,TX,MCO,FL,1545,1912,854.0,1,0,1,0,0
61,2011,7,7,CO,IAH,TX,LGA,NY,1740,2220,1416.0,1,0,0,0,1
62,2011,7,7,CO,IAH,TX,ORD,IL,1030,1306,925.0,1,0,0,0,0
63,2011,7,7,CO,IAH,TX,BWI,MD,1250,1704,1235.0,1,0,1,0,0
64,2011,7,7,CO,IAH,TX,TPA,FL,1110,1426,787.0,0,0,1,0,0
65,2011,7,7,CO,IAH,TX,RNO,NV,955,1138,1530.0,0,0,0,0,1
66,2011,7,7,CO,IAH,TX,DCA,VA,1251,1659,1208.0,0,1,1,0,0
67,2011,7,7,CO,IAH,TX,SFO,CA,1300,1502,1635.0,1,0,0,0,1
68,2011,7,7,CO,IAH,TX,ANC,AK,1515,1918,3266.0,1,0,0,0,0
69,2011,7,7,CO,IAH,TX,LAX,CA,2130,2256,1379.0,0,0,1,0,0
70,2011,7,7,CO,IAH,TX,LAX,CA,1330,1457,1379.0,1,0,0,0,0
71,2011,7,7,CO,IAH,TX,ATL,GA,2135,32,689.0,0,0,1,0,1
72,2011,7,7,CO,IAH,TX,SEA,WA,1730,1957,1874.0,1,0,1,0,0
73,2011,7,7,CO,IAH,TX,LAX,CA,830,952,1379.0,1,0,1,0,0
74,2011,7,7,CO,IAH,TX,LGA,NY,1040,1525,1416.0,1,0,1,0,0
75,2011,7,6,CO,IAH,TX,EWR,NJ,1435,1916,1400.0,0,0,0,0,1
76,2011,7,6,CO,IAH,TX,SEA,WA,1730,1950,1874.0,1,0,0,0,0
77,2011,7,6,CO,IAH,TX,SAN,CA,1520,1632,1303.0,1,0,0,0,0
78,2011,7,6,CO,IAH,TX,LAS,NV,1145,1249,1222.0,1,0,0,0,0
79,2011,7,6,CO,IAH,TX,PDX,OR,1744,2000,1825.0,1,0,0,0,0
80,2011,7,6,CO,IAH,TX,LAX,CA,1530,1653,1379.0,1,0,1,0,0
81,2011,7,6,CO,IAH,TX,PIT,PA,1255,1650,1117.0,1,0,0,0,0
82,2011,7,6,CO,IAH,TX,ATL,GA,900,1203,689.0,1,0,0,0,0
83,2011,7,6,CO,IAH,TX,MSY,LA,2110,2216,305.0,1,0,0,0,0
84,2011,7,6,CO,IAH,TX,AUS,TX,1930,2017,140.0,1,0,0,0,1
85,2011,7,6,CO,IAH,TX,PDX,OR,2050,2257,1825.0,1,0,0,0,1
86,2011,7,6,CO,IAH,TX,DCA,VA,1040,1441,1208.0,0,0,1,0,0
87,2011,7,6,CO,IAH,TX,ATL,GA,1855,2205,689.0,1,0,0,0,0
88,2011,7,6,CO,IAH,TX,LAX,CA,1030,1151,1379.0,1,0,0,0,0
89,2011,7,6,CO,IAH,TX,ATL,GA,1655,1958,689.0,0,0,1,0,0
90,2011,7,6,CO,IAH,TX,BWI,MD,1025,1435,1235.0,1,0,0,0,0
91,2011,7,6,CO,IAH,TX,AUS,TX,2110,2159,140.0,1,0,0,0,0
92,2011,7,6,CO,IAH,TX,SNA,CA,1805,1926,1346.0,1,0,0,0,0
93,2011,7,6,CO,IAH,TX,BOS,MA,1535,2024,1597.0,1,0,1,0,0
94,2011,7,6,CO,IAH,TX,MFE,TX,1435,1546,316.0,1,0,1,0,0
95,2011,7,6,CO,IAH,TX,MCO,FL,1850,2208,854.0,0,0,0,1,1
96,2011,7,6,CO,IAH,TX,DCA,VA,1905,2303,1208.0,1,0,1,0,0
97,2011,7,6,CO,IAH,TX,ORD,IL,1530,1818,925.0,1,0,0,0,1
98,2011,7,6,CO,IAH,TX,SMF,CA,2110,2258,1609.0,0,0,0,0,1
99,2011,7,6,CO,IAH,TX,SJU,PR,1010,1539,2007.0,1,0,1,0,0
100,2011,7,6,CO,IAH,TX,SFO,CA,1750,1948,1635.0,1,0,0,0,0
101,2011,7,6,CO,IAH,TX,BOS,MA,1850,2337,1597.0,1,0,1,0,0
102,2011,7,6,CO,IAH,TX,ANC,AK,1515,1918,3266.0,1,0,1,0,0
103,2011,7,6,CO,IAH,TX,SAT,TX,1750,1845,191.0,1,0,0,0,0
104,2011,7,6,CO,IAH,TX,LAX,CA,1811,1931,1379.0,0,0,0,0,1
105,2011,7,6,CO,IAH,TX,EWR,NJ,1310,1745,1400.0,1,0,0,0,0
106,2011,7,6,CO,IAH,TX,FLL,FL,725,1052,965.0,1,0,0,0,0
107,2011,7,6,CO,IAH,TX,DTW,MI,1945,2342,1075.0,1,0,0,0,1
108,2011,7,5,CO,IAH,TX,LAX,CA,1910,2041,1379.0,1,0,1,0,1
109,2011,7,5,CO,IAH,TX,DEN,CO,1740,1915,862.0,1,0,0,0,1
110,2011,7,5,CO,IAH,TX,SEA,WA,1900,2130,1874.0,1,0,1,0,1
111,2011,7,5,CO,IAH,TX,ORD,IL,1825,2106,925.0,1,0,0,0,1
112,2011,7,5,CO,IAH,TX,IAD,VA,1650,2106,1190.0,1,0,0,0,0
113,2011,7,5,CO,IAH,TX,DEN,CO,1540,1718,862.0,1,0,0,0,0
114,2011,7,5,CO,IAH,TX,LAS,NV,1145,1255,1222.0,0,0,0,0,1
115,2011,7,5,CO,IAH,TX,DEN,CO,1855,2030,862.0,1,0,0,0,0
116,2011,7,5,CO,IAH,TX,SFO,CA,1855,2056,1635.0,1,0,0,0,1
117,2011,7,5,CO,IAH,TX,MSY,LA,1635,1743,305.0,1,0,0,0,1
118,2011,7,5,CO,IAH,TX,LAS,NV,1905,2022,1222.0,0,0,0,0,1
119,2011,7,5,CO,IAH,TX,SEA,WA,2045,2314,1874.0,0,0,1,0,1
120,2011,7,5,CO,IAH,TX,PHL,PA,1915,2340,1325.0,1,0,0,0,0
121,2011,7,5,CO,IAH,TX,PIT,PA,1850,2251,1117.0,1,0,0,0,1
122,2011,7,5,CO,IAH,TX,ATL,GA,1630,1937,689.0,1,0,1,0,1
123,2011,7,5,CO,IAH,TX,MSY,LA,2110,2218,305.0,1,0,0,0,1
124,2011,7,5,CO,IAH,TX,AUS,TX,1930,2024,140.0,1,0,0,0,1
125,2011,7,5,CO,IAH,TX,MSY,LA,1135,1245,305.0,0,0,1,0,0
126,2011,7,5,CO,IAH,TX,PHL,PA,1555,2031,1325.0,1,0,1,0,0
127,2011,7,5,CO,IAH,TX,SNA,CA,2100,2228,1346.0,0,0,0,0,1
128,2011,7,5,CO,IAH,TX,SLC,UT,2055,2301,1195.0,1,0,0,0,1
129,2011,7,5,CO,IAH,TX,SEA,WA,2130,2355,1874.0,1,0,1,0,0
130,2011,7,5,CO,IAH,TX,MSY,LA,1305,1418,305.0,0,0,1,0,0
131,2011,7,5,CO,IAH,TX,MSP,MN,1910,2209,1034.0,1,0,0,0,1
132,2011,7,5,CO,IAH,TX,SFO,CA,2100,2304,1635.0,1,0,0,0,0
133,2011,7,5,CO,IAH,TX,PHX,AZ,2105,2147,1009.0,1,0,0,0,1
134,2011,7,5,CO,IAH,TX,ATL,GA,1855,2210,689.0,1,0,0,0,1
135,2011,7,5,CO,IAH,TX,TPA,FL,1910,2222,787.0,1,0,0,0,0
136,2011,7,5,CO,IAH,TX,LGA,NY,1130,1614,1416.0,1,0,0,0,1
137,2011,7,5,CO,IAH,TX,PBI,FL,1930,2304,956.0,1,0,0,0,1
138,2011,7,5,CO,IAH,TX,TUL,OK,2055,2227,429.0,1,0,0,0,0
139,2011,7,5,CO,IAH,TX,EWR,NJ,1755,2239,1400.0,0,0,1,0,0
140,2011,7,5,CO,IAH,TX,SJU,PR,2359,528,2007.0,1,0,1,0,0
141,2011,7,5,CO,IAH,TX,MFE,TX,2105,2215,316.0,1,0,0,0,1
142,2011,7,5,CO,IAH,TX,ORD,IL,1630,1910,925.0,1,0,1,0,0
143,2011,7,5,CO,IAH,TX,IND,IN,1040,1354,844.0,1,0,1,0,1
144,2011,7,5,CO,IAH,TX,SAT,TX,1250,1347,191.0,1,0,1,0,0
145,2011,7,5,CO,IAH,TX,LGA,NY,1555,2050,1416.0,0,0,1,0,0
146,2011,7,5,CO,IAH,TX,MCO,FL,1850,2215,854.0,1,0,0,0,1
147,2011,7,5,CO,IAH,TX,ONT,CA,2055,2213,1334.0,1,0,0,0,1
148,2011,7,5,CO,IAH,TX,AUS,TX,1840,1936,140.0,1,0,0,0,1
149,2011,7,5,CO,IAH,TX,MCO,FL,1545,1910,854.0,1,0,0,0,0
150,2011,7,5,CO,IAH,TX,PHX,AZ,1203,1241,1009.0,1,0,0,0,0
151,2011,7,5,CO,IAH,TX,DCA,VA,1755,2204,1208.0,1,0,0,0,0
