,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2007,8,6,9E,IAH,TX,MSP,MN,1045,1340,1034.0,0,0,1,0,1
1,2007,8,2,9E,IAH,TX,MSP,MN,1045,1340,1034.0,0,0,0,0,1
2,2007,8,3,9E,IAH,TX,MSP,MN,1045,1340,1034.0,0,0,1,0,0
3,2007,8,4,9E,IAH,TX,MSP,MN,1045,1340,1034.0,0,0,1,0,1
4,2007,8,7,9E,IAH,TX,MSP,MN,1045,1340,1034.0,1,0,1,0,0
5,2007,8,1,9E,IAH,TX,MSP,MN,1045,1340,1034.0,0,0,1,0,0
6,2007,8,2,9E,IAH,TX,MSP,MN,745,1040,1034.0,0,0,1,0,0
7,2007,8,4,9E,IAH,TX,MSP,MN,745,1040,1034.0,0,0,1,0,0
8,2007,8,1,9E,IAH,TX,MSP,MN,745,1040,1034.0,0,0,1,0,0
9,2007,8,4,9E,IAH,TX,MSP,MN,745,1040,1034.0,0,0,1,0,0
10,2007,8,5,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
11,2007,8,6,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,1,0,0
12,2007,8,7,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
13,2007,8,2,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
14,2007,8,3,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
15,2007,8,4,9E,IAH,TX,MSP,MN,745,1043,1034.0,0,0,1,0,0
16,2007,8,7,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
17,2007,8,1,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,1,0,0
18,2007,8,2,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
19,2007,8,3,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,1,0,0
20,2007,8,4,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,1,0,0
21,2007,8,6,9E,IAH,TX,MSP,MN,745,1043,1034.0,1,0,0,0,0
22,2007,8,3,9E,IAH,TX,MEM,TN,1610,1758,469.0,1,0,0,0,0
23,2007,8,5,9E,IAH,TX,MEM,TN,1610,1758,469.0,0,0,1,0,0
24,2007,8,4,9E,IAH,TX,MEM,TN,615,801,469.0,1,0,0,0,0
25,2007,8,3,9E,IAH,TX,MEM,TN,1207,1345,469.0,1,0,1,0,0
26,2007,8,4,9E,IAH,TX,MEM,TN,1207,1345,469.0,0,0,1,0,0
27,2007,8,6,9E,IAH,TX,MEM,TN,1207,1345,469.0,0,0,0,0,1
28,2007,8,4,9E,IAH,TX,MEM,TN,1207,1345,469.0,0,1,1,0,0
29,2007,8,4,9E,IAH,TX,MEM,TN,1615,1800,469.0,0,0,1,0,0
30,2007,8,6,9E,IAH,TX,MEM,TN,1615,1800,469.0,0,1,1,0,0
31,2007,8,7,9E,IAH,TX,MEM,TN,1615,1800,469.0,0,0,0,0,1
32,2007,8,3,AA,IAH,TX,ORD,IL,1300,1535,925.0,0,0,1,0,0
33,2007,8,4,AA,IAH,TX,ORD,IL,1300,1535,925.0,0,0,1,0,0
34,2007,8,7,AA,IAH,TX,ORD,IL,1300,1535,925.0,0,0,1,0,1
35,2007,8,1,AA,IAH,TX,ORD,IL,1300,1535,925.0,0,0,1,0,0
36,2007,8,3,AA,IAH,TX,ORD,IL,1300,1535,925.0,1,0,1,0,1
37,2007,8,4,AA,IAH,TX,ORD,IL,1300,1535,925.0,0,0,1,0,0
