,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2005,7,6,AA,DFW,TX,600,703,224.0,1,0,1,0,0
1,2005,7,6,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
2,2005,7,6,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
3,2005,7,2,AA,DFW,TX,1043,1153,224.0,0,1,1,0,0
4,2005,7,4,AA,DFW,TX,1043,1153,224.0,0,1,1,0,1
5,2005,7,4,AA,DFW,TX,1043,1153,224.0,0,0,1,0,0
6,2005,7,7,AA,DFW,TX,711,814,224.0,1,0,1,0,0
7,2005,7,2,AA,DFW,TX,711,814,224.0,0,0,1,0,0
8,2005,7,5,AA,DFW,TX,711,814,224.0,1,0,1,0,0
9,2005,7,7,AA,MIA,FL,646,1011,964.0,1,0,1,0,0
10,2005,7,6,AA,DFW,TX,816,923,224.0,0,0,1,0,0
11,2005,7,2,AA,DFW,TX,816,923,224.0,0,0,1,0,0
12,2005,7,5,AA,DFW,TX,816,923,224.0,0,0,1,0,0
13,2005,7,4,AA,DFW,TX,816,923,224.0,0,0,1,0,0
14,2005,7,5,AA,DFW,TX,816,923,224.0,0,0,1,0,0
15,2005,7,3,AA,DFW,TX,816,923,224.0,0,0,0,0,1
16,2005,7,4,AA,DFW,TX,816,923,224.0,1,0,0,0,0
17,2005,7,5,AA,MIA,FL,1847,2215,964.0,0,0,1,0,1
18,2005,7,2,AA,MIA,FL,1847,2215,964.0,0,0,1,0,1
19,2005,7,3,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
20,2005,7,4,AA,MIA,FL,1847,2215,964.0,0,1,0,0,1
21,2005,7,5,AA,MIA,FL,1847,2215,964.0,0,0,1,0,0
22,2005,7,7,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
23,2005,7,1,AA,MIA,FL,1847,2215,964.0,0,0,1,0,1
24,2005,7,2,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
25,2005,7,4,AA,MIA,FL,1847,2215,964.0,0,0,1,0,1
26,2005,7,5,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
27,2005,7,1,AA,MIA,FL,1847,2215,964.0,0,0,1,0,0
28,2005,7,3,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
29,2005,7,1,AA,MIA,FL,1847,2215,964.0,0,0,0,0,1
30,2005,7,3,AA,DFW,TX,640,744,224.0,1,0,1,0,0
31,2005,7,5,AA,DFW,TX,1546,1700,224.0,0,0,1,0,1
32,2005,7,2,AA,DFW,TX,1546,1700,224.0,0,1,1,0,1
33,2005,7,4,AA,DFW,TX,1546,1700,224.0,0,1,1,0,1
34,2005,7,5,AA,DFW,TX,1546,1700,224.0,0,0,1,0,0
35,2005,7,1,AA,DFW,TX,1546,1700,224.0,0,1,1,0,1
36,2005,7,3,AA,DFW,TX,1546,1700,224.0,0,0,1,0,1
37,2005,7,4,AA,DFW,TX,1546,1700,224.0,0,0,1,0,1
38,2005,7,5,AA,DFW,TX,1546,1700,224.0,0,1,1,0,1
39,2005,7,7,AA,DFW,TX,1546,1700,224.0,0,0,0,0,1
40,2005,7,3,AA,DFW,TX,1546,1700,224.0,0,1,1,0,1
41,2005,7,4,AA,DFW,TX,1546,1700,224.0,0,0,0,0,1
42,2005,7,5,AA,DFW,TX,1546,1700,224.0,0,0,1,0,1
43,2005,7,3,AA,DFW,TX,1546,1700,224.0,0,0,1,0,0
44,2005,7,6,AA,DFW,TX,1546,1700,224.0,0,0,1,0,0
45,2005,7,5,AA,ORD,IL,1155,1430,925.0,0,0,1,0,0
46,2005,7,4,AA,ORD,IL,1155,1430,925.0,0,0,1,0,0
47,2005,7,6,AA,ORD,IL,1155,1430,925.0,0,0,1,0,1
48,2005,7,7,AA,ORD,IL,1155,1430,925.0,0,0,1,0,0
49,2005,7,1,AA,ORD,IL,1155,1430,925.0,0,1,0,0,1
50,2005,7,3,AA,ORD,IL,1155,1430,925.0,0,0,1,0,1
51,2005,7,5,AA,ORD,IL,1155,1430,925.0,0,0,1,0,0
52,2005,7,2,AA,ORD,IL,1155,1430,925.0,0,0,1,0,0
53,2005,7,2,AA,DFW,TX,940,1050,224.0,0,0,1,0,0
54,2005,7,3,AA,DFW,TX,940,1050,224.0,1,0,0,0,0
55,2005,7,4,AA,DFW,TX,940,1050,224.0,0,0,1,0,0
56,2005,7,4,AA,DFW,TX,940,1050,224.0,0,0,1,0,1
57,2005,7,7,AA,DFW,TX,940,1050,224.0,0,0,1,0,0
58,2005,7,4,AA,DFW,TX,940,1050,224.0,0,0,1,0,0
59,2005,7,5,AA,DFW,TX,1645,1757,224.0,0,1,0,0,1
60,2005,7,1,AA,DFW,TX,1645,1757,224.0,0,0,0,0,1
61,2005,7,2,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
62,2005,7,5,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
63,2005,7,7,AA,DFW,TX,1645,1757,224.0,0,0,1,0,0
64,2005,7,1,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
65,2005,7,2,AA,DFW,TX,1645,1757,224.0,0,1,1,0,1
66,2005,7,3,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
67,2005,7,4,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
68,2005,7,5,AA,DFW,TX,1645,1757,224.0,0,0,1,0,1
69,2005,7,6,AA,DFW,TX,1645,1757,224.0,0,0,0,0,1
70,2005,7,3,AA,DFW,TX,1645,1757,224.0,0,0,0,0,1
71,2005,7,5,AA,DFW,TX,1645,1757,224.0,0,1,1,0,0
72,2005,7,6,AA,DFW,TX,1645,1757,224.0,0,0,1,0,0
73,2005,7,5,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
74,2005,7,1,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
75,2005,7,4,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
76,2005,7,5,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
77,2005,7,1,AA,ORD,IL,1557,1845,925.0,1,0,0,0,1
78,2005,7,2,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
79,2005,7,4,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
80,2005,7,5,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
81,2005,7,7,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
82,2005,7,1,AA,ORD,IL,1557,1845,925.0,0,0,1,0,1
83,2005,7,5,AA,ORD,IL,1557,1845,925.0,0,1,1,0,1
84,2005,7,1,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
85,2005,7,2,AA,ORD,IL,1557,1845,925.0,0,0,1,0,0
86,2005,7,2,AA,DFW,TX,1334,1452,224.0,0,0,1,0,1
87,2005,7,6,AA,DFW,TX,1334,1452,224.0,0,0,0,0,1
88,2005,7,1,AA,DFW,TX,1334,1452,224.0,0,0,1,0,0
89,2005,7,3,AA,DFW,TX,1334,1452,224.0,0,0,1,0,0
90,2005,7,4,AA,DFW,TX,1334,1452,224.0,0,0,1,0,1
91,2005,7,7,AA,DFW,TX,1334,1452,224.0,0,0,1,0,1
92,2005,7,3,AA,DFW,TX,1334,1452,224.0,0,0,1,0,0
93,2005,7,1,AA,DFW,TX,1334,1452,224.0,0,0,1,0,0
94,2005,7,2,AA,DFW,TX,1334,1452,224.0,0,0,1,0,0
95,2005,7,5,AA,ORD,IL,1740,2015,925.0,0,0,0,0,1
96,2005,7,1,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
97,2005,7,4,AA,ORD,IL,1740,2015,925.0,0,1,0,0,1
98,2005,7,7,AA,ORD,IL,1740,2015,925.0,0,0,1,0,0
99,2005,7,1,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
100,2005,7,4,AA,ORD,IL,1740,2015,925.0,0,0,0,0,1
101,2005,7,5,AA,ORD,IL,1740,2015,925.0,0,0,1,0,0
102,2005,7,7,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
103,2005,7,1,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
104,2005,7,2,AA,ORD,IL,1740,2015,925.0,0,0,0,0,1
105,2005,7,3,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
106,2005,7,4,AA,ORD,IL,1740,2015,925.0,0,0,1,0,0
107,2005,7,5,AA,ORD,IL,1740,2015,925.0,0,0,1,0,1
108,2005,7,2,AA,ORD,IL,1740,2015,925.0,0,0,1,0,0
109,2005,7,5,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
110,2005,7,2,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
111,2005,7,4,AA,DFW,TX,1438,1551,224.0,0,1,1,0,1
112,2005,7,5,AA,DFW,TX,1438,1551,224.0,1,0,0,0,0
113,2005,7,1,AA,DFW,TX,1438,1551,224.0,0,0,1,0,0
114,2005,7,2,AA,DFW,TX,1438,1551,224.0,0,1,1,0,1
115,2005,7,3,AA,DFW,TX,1438,1551,224.0,0,1,1,0,1
116,2005,7,4,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
117,2005,7,5,AA,DFW,TX,1438,1551,224.0,0,0,1,0,0
118,2005,7,7,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
119,2005,7,3,AA,DFW,TX,1438,1551,224.0,0,0,1,0,0
120,2005,7,4,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
121,2005,7,5,AA,DFW,TX,1438,1551,224.0,0,0,1,0,1
