,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2012,7,4,AA,IAH,TX,DFW,TX,855,1010,224.0,1,0,0,0,0
1,2012,7,3,AA,IAH,TX,DFW,TX,855,1010,224.0,0,0,0,0,1
2,2012,7,4,AA,IAH,TX,DFW,TX,855,1010,224.0,0,0,0,0,1
3,2012,7,7,AA,IAH,TX,DFW,TX,1800,1920,224.0,1,0,0,0,1
4,2012,7,1,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,1,0,1
5,2012,7,5,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,1,0,0,1
6,2012,7,6,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,1,0,1
7,2012,7,1,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,0,0,1
8,2012,7,2,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,1,0,1
9,2012,7,4,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,1,0,0,1
10,2012,7,5,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,1,1,0,0
11,2012,7,7,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,1,1,0,1
12,2012,7,4,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,1,0,1
13,2012,7,5,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,1,0,1
14,2012,7,1,AA,IAH,TX,DFW,TX,1955,2110,224.0,0,0,1,0,1
15,2012,7,2,AA,IAH,TX,DFW,TX,1955,2110,224.0,0,0,1,0,0
16,2012,7,7,AA,IAH,TX,DFW,TX,1955,2110,224.0,0,0,0,0,1
17,2012,7,1,AA,IAH,TX,DFW,TX,1955,2110,224.0,0,0,0,0,1
18,2012,7,2,AA,IAH,TX,DFW,TX,1955,2110,224.0,0,0,0,0,1
19,2012,7,7,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,1,1,0,1
20,2012,7,1,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,1,1,0,1
21,2012,7,3,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,1,1,0,1
22,2012,7,5,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,1,0,0,1
23,2012,7,7,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,1,0,0,1
24,2012,7,5,AA,IAH,TX,DFW,TX,1420,1535,224.0,1,0,0,0,1
25,2012,7,2,AA,IAH,TX,DFW,TX,1420,1535,224.0,0,0,1,0,1
26,2012,7,7,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,1,1,0,1
27,2012,7,3,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,1,1,0,1
28,2012,7,4,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,1,0,0,1
29,2012,7,5,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,1,0,0,1
30,2012,7,5,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,0,0,0,1
31,2012,7,6,AA,IAH,TX,DFW,TX,1130,1245,224.0,0,0,0,0,1
32,2012,7,1,AA,IAH,TX,DFW,TX,1130,1245,224.0,1,0,0,0,1
33,2012,7,6,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,0,1,0,1
34,2012,7,1,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,1,1,0,1
35,2012,7,4,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,1,0,0,1
36,2012,7,6,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,1,1,0,0
37,2012,7,7,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,1,1,0,1
38,2012,7,6,AA,IAH,TX,MIA,FL,1340,1715,964.0,1,0,1,0,0
39,2012,7,7,AA,IAH,TX,MIA,FL,1340,1715,964.0,0,0,1,0,1
40,2012,7,1,AA,IAH,TX,MIA,FL,1340,1715,964.0,1,0,0,0,1
41,2012,7,3,AA,IAH,TX,MIA,FL,600,925,964.0,0,0,1,0,0
42,2012,7,5,AA,IAH,TX,MIA,FL,600,925,964.0,0,0,1,0,0
43,2012,7,4,AA,IAH,TX,MIA,FL,600,925,964.0,1,0,0,0,0
44,2012,7,5,AA,IAH,TX,MIA,FL,600,925,964.0,0,0,1,0,0
45,2012,7,7,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,1,0,0
46,2012,7,4,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,0,0,1
47,2012,7,7,AA,IAH,TX,DFW,TX,1615,1735,224.0,1,0,1,0,1
48,2012,7,1,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,0,0,1
49,2012,7,3,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,1,0,0,1
50,2012,7,5,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,1,1,0,1
51,2012,7,6,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,1,0,0
52,2012,7,7,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,1,0,1
53,2012,7,2,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,1,1,0,0
54,2012,7,5,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,1,1,0,0
55,2012,7,6,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,1,0,1
56,2012,7,2,AA,IAH,TX,DFW,TX,1615,1735,224.0,0,0,1,0,1
57,2012,7,4,AA,IAH,TX,DFW,TX,1615,1735,224.0,1,0,0,0,1
58,2012,7,1,AA,IAH,TX,DFW,TX,1800,1920,224.0,0,0,0,0,1
59,2012,7,6,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,1,1,0,1
60,2012,7,7,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,0,0,0,1
61,2012,7,1,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,0,0,0,1
62,2012,7,5,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,1,0,0,1
63,2012,7,7,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,1,0,0,1
64,2012,7,7,AA,IAH,TX,MIA,FL,1755,2130,964.0,0,0,0,0,1
65,2012,7,6,AA,IAH,TX,MIA,FL,1010,1345,964.0,0,0,1,0,1
66,2012,7,7,AA,IAH,TX,MIA,FL,1010,1345,964.0,0,1,1,0,1
67,2012,7,3,AA,IAH,TX,MIA,FL,1010,1345,964.0,0,1,0,0,1
68,2012,7,4,AA,IAH,TX,MIA,FL,1010,1345,964.0,0,1,1,0,1
69,2012,7,5,AA,IAH,TX,MIA,FL,1010,1345,964.0,0,0,1,0,1
70,2012,7,6,AA,IAH,TX,MIA,FL,1010,1345,964.0,1,0,1,0,0
71,2012,7,6,AA,IAH,TX,MIA,FL,1010,1345,964.0,1,0,1,0,0
72,2012,7,1,AA,IAH,TX,MIA,FL,1010,1345,964.0,1,0,0,0,1
73,2012,7,4,AA,IAH,TX,DFW,TX,710,820,224.0,0,1,0,0,0
74,2012,7,4,AA,IAH,TX,DFW,TX,710,820,224.0,1,0,0,0,0
75,2012,7,2,AS,IAH,TX,SEA,WA,1730,1959,1874.0,0,0,1,0,0
76,2012,7,7,AS,IAH,TX,SEA,WA,1730,1959,1874.0,1,0,1,0,1
77,2012,7,1,AS,IAH,TX,SEA,WA,1730,1959,1874.0,0,0,1,0,1
78,2012,7,6,AS,IAH,TX,SEA,WA,1730,1959,1874.0,0,1,1,0,0
79,2012,7,5,AS,IAH,TX,SEA,WA,1730,1955,1874.0,0,0,0,0,1
80,2012,7,5,AS,IAH,TX,SEA,WA,1730,1959,1874.0,0,0,0,0,1
81,2012,7,7,AS,IAH,TX,SEA,WA,1730,1955,1874.0,0,0,1,0,1
82,2012,7,1,AS,IAH,TX,SEA,WA,1730,1955,1874.0,1,0,0,0,0
83,2012,7,2,AS,IAH,TX,SEA,WA,1730,1955,1874.0,1,0,1,0,1
84,2012,7,7,DL,IAH,TX,ATL,GA,1755,2105,689.0,0,0,1,0,0
85,2012,7,7,DL,IAH,TX,ATL,GA,555,903,689.0,1,0,0,0,0
86,2012,7,1,DL,IAH,TX,MSP,MN,735,1024,1034.0,1,0,0,0,0
87,2012,7,3,DL,IAH,TX,ATL,GA,700,1012,689.0,1,0,0,0,0
88,2012,7,2,DL,IAH,TX,ATL,GA,1600,1913,689.0,1,0,1,0,0
89,2012,7,6,DL,IAH,TX,ATL,GA,1755,2101,689.0,1,0,1,0,1
90,2012,7,2,DL,IAH,TX,ATL,GA,1600,1913,689.0,0,0,1,0,0
91,2012,7,2,DL,IAH,TX,ATL,GA,1755,2103,689.0,0,0,1,0,0
92,2012,7,7,DL,IAH,TX,ATL,GA,908,1212,689.0,1,0,1,0,0
93,2012,7,1,DL,IAH,TX,ATL,GA,1330,1640,689.0,0,0,1,0,1
94,2012,7,1,DL,IAH,TX,MSP,MN,735,1024,1034.0,1,0,0,0,0
95,2012,7,2,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,1,0,1
96,2012,7,2,DL,IAH,TX,MSP,MN,735,1024,1034.0,1,0,0,0,0
97,2012,7,3,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,1,0,0
98,2012,7,3,DL,IAH,TX,ATL,GA,910,1214,689.0,0,0,1,0,1
99,2012,7,3,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,1,0,1
100,2012,7,5,DL,IAH,TX,ATL,GA,1755,2105,689.0,1,0,0,0,0
101,2012,7,4,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,1,0,1
102,2012,7,4,DL,IAH,TX,ATL,GA,910,1214,689.0,1,0,0,0,1
103,2012,7,4,DL,IAH,TX,ATL,GA,1330,1639,689.0,0,0,1,0,1
104,2012,7,3,DL,IAH,TX,MSP,MN,730,1019,1034.0,0,0,1,0,0
105,2012,7,4,DL,IAH,TX,ATL,GA,1745,2055,689.0,0,0,1,0,0
106,2012,7,4,DL,IAH,TX,MSP,MN,730,1019,1034.0,0,0,1,0,0
107,2012,7,5,DL,IAH,TX,ATL,GA,1745,2055,689.0,1,0,1,0,1
108,2012,7,5,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,1,0,0
109,2012,7,5,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,1,0,1
110,2012,7,5,DL,IAH,TX,ATL,GA,910,1214,689.0,1,0,1,0,0
111,2012,7,6,DL,IAH,TX,MSP,MN,730,1019,1034.0,1,0,0,0,0
112,2012,7,7,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,0,0,1
113,2012,7,7,DL,IAH,TX,ATL,GA,1330,1640,689.0,0,0,1,0,1
114,2012,7,1,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,1,0,1
115,2012,7,1,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,1,0,0
116,2012,7,2,DL,IAH,TX,ATL,GA,1620,1927,689.0,0,0,1,0,0
117,2012,7,2,DL,IAH,TX,ATL,GA,1745,2055,689.0,1,0,1,0,1
118,2012,7,3,DL,IAH,TX,ATL,GA,1620,1927,689.0,0,0,1,0,0
119,2012,7,2,DL,IAH,TX,ATL,GA,1330,1639,689.0,0,0,1,0,0
120,2012,7,3,DL,IAH,TX,MSP,MN,730,1019,1034.0,0,0,1,0,0
121,2012,7,4,DL,IAH,TX,ATL,GA,1745,2055,689.0,1,0,0,0,0
122,2012,7,5,DL,IAH,TX,ATL,GA,1745,2055,689.0,1,0,0,0,1
123,2012,7,3,DL,IAH,TX,ATL,GA,1745,2055,689.0,0,0,1,0,0
124,2012,7,4,DL,IAH,TX,MSP,MN,730,1019,1034.0,1,0,0,0,0
125,2012,7,7,DL,IAH,TX,ATL,GA,1745,2055,689.0,0,0,1,0,0
126,2012,7,6,DL,IAH,TX,ATL,GA,1620,1927,689.0,0,0,1,0,0
127,2012,7,4,DL,IAH,TX,ATL,GA,1620,1927,689.0,0,0,1,0,0
128,2012,7,5,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,0,0,1
129,2012,7,3,DL,IAH,TX,ATL,GA,1330,1639,689.0,1,0,1,0,0
130,2012,7,3,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,0,0,1
131,2012,7,4,DL,IAH,TX,ATL,GA,1620,1927,689.0,1,0,0,0,1
