,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
51730,2006,2,5,XE,GRK,TX,935,1037,166.0,0,0,1,0,0
51731,2006,2,5,XE,DAL,TX,1200,1305,217.0,0,0,1,0,0
51732,2006,2,1,XE,STL,MO,850,1052,668.0,0,0,1,1,0
51733,2006,2,3,XE,ORD,IL,1435,1715,925.0,0,0,1,0,0
51734,2006,2,2,XE,COS,CO,910,1035,809.0,0,0,1,0,0
51735,2006,2,3,XE,TUL,OK,1140,1305,429.0,0,1,1,0,1
51736,2006,2,2,XE,JAN,MS,745,900,351.0,0,0,1,0,0
51737,2006,2,5,XE,AMA,TX,1740,1919,519.0,1,0,1,0,0
51738,2006,2,7,XE,GRK,TX,935,1037,166.0,1,0,1,0,0
51739,2006,2,3,XE,BNA,TN,735,927,657.0,0,0,1,1,0
51740,2006,2,6,XE,OKC,OK,1420,1540,395.0,1,0,1,0,0
51741,2006,2,1,XE,ICT,KS,1755,1940,542.0,0,0,1,0,0
51742,2006,2,4,XE,LBB,TX,1135,1305,458.0,0,0,1,0,0
51743,2006,2,3,XE,BPT,TX,2125,2208,79.0,1,0,0,0,0
51744,2006,2,5,XE,LFT,LA,1730,1825,201.0,1,0,0,0,1
51745,2006,2,4,XE,CRP,TX,1735,1837,201.0,0,0,1,0,0
51746,2006,2,7,XE,ABQ,NM,1425,1542,744.0,1,0,0,0,1
51747,2006,2,6,XE,ELP,TX,1110,1215,667.0,0,0,1,0,0
51748,2006,2,5,XE,SLC,UT,2110,2329,1195.0,0,1,1,0,0
51749,2006,2,5,XE,XNA,AR,1855,2025,438.0,0,1,1,0,1
51750,2006,2,7,XE,BNA,TN,1535,1730,657.0,1,0,0,0,0
51751,2006,2,7,XE,GSP,SC,1055,1405,838.0,1,0,0,0,1
51752,2006,2,5,XE,MSP,MN,1415,1655,1034.0,0,1,1,0,0
51753,2006,2,7,XE,RDU,NC,1040,1410,1043.0,1,0,1,0,0
51754,2006,2,5,XE,LBB,TX,1800,1935,458.0,0,0,1,0,0
