,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2004,10,1,AA,DFW,TX,946,1105,224.0,0,0,1,0,0
1,2004,10,7,AA,DFW,TX,946,1105,224.0,1,0,0,0,0
2,2004,10,5,AA,DFW,TX,1918,2032,224.0,0,0,1,0,0
3,2004,10,3,AA,DFW,TX,1918,2032,224.0,0,0,1,0,0
4,2004,10,5,AA,DFW,TX,1918,2032,224.0,0,0,0,0,1
5,2004,10,7,AA,DFW,TX,1918,2032,224.0,0,0,0,0,1
6,2004,10,4,AA,DFW,TX,1918,2032,224.0,1,0,1,0,0
7,2004,10,7,AA,DFW,TX,1918,2032,224.0,0,0,1,0,1
8,2004,10,1,AA,DFW,TX,800,915,224.0,0,0,1,0,0
9,2004,10,2,AA,DFW,TX,800,915,224.0,1,0,0,0,0
10,2004,10,5,AA,DFW,TX,800,915,224.0,0,0,1,0,0
11,2004,10,1,AA,DFW,TX,800,915,224.0,0,0,1,0,0
12,2004,10,7,AA,DFW,TX,800,915,224.0,1,0,0,0,0
13,2004,10,6,AA,DFW,TX,800,915,224.0,1,0,0,0,0
14,2004,10,7,AA,MIA,FL,1907,2226,964.0,0,0,1,0,1
15,2004,10,7,AA,MIA,FL,1907,2226,964.0,1,0,0,0,1
16,2004,10,7,AA,MIA,FL,1907,2226,964.0,0,0,1,0,0
17,2004,10,1,AA,ORD,IL,1602,1835,925.0,0,0,1,0,1
18,2004,10,3,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
19,2004,10,5,AA,ORD,IL,1602,1835,925.0,0,0,1,0,1
20,2004,10,7,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
21,2004,10,1,AA,ORD,IL,1602,1835,925.0,0,0,1,0,1
22,2004,10,2,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
23,2004,10,4,AA,ORD,IL,1602,1835,925.0,0,0,0,0,1
24,2004,10,5,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
25,2004,10,4,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
26,2004,10,5,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
27,2004,10,6,AA,ORD,IL,1602,1835,925.0,0,0,1,0,0
28,2004,10,1,AA,MIA,FL,1351,1718,964.0,0,0,1,0,0
29,2004,10,6,AA,MIA,FL,1351,1718,964.0,0,0,1,0,0
