,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,2010,7,5,9E,MEM,TN,1155,1340,469.0,0,0,1,0,1
1,2010,7,3,9E,MEM,TN,1155,1340,469.0,0,0,1,0,0
2,2010,7,7,9E,MEM,TN,1155,1340,469.0,0,0,1,0,0
3,2010,7,4,9E,MEM,TN,605,750,469.0,1,0,1,0,0
4,2010,7,2,9E,MEM,TN,605,750,469.0,0,1,0,0,0
5,2010,7,4,9E,MEM,TN,1620,1808,469.0,1,0,1,0,0
6,2010,7,3,9E,MEM,TN,1620,1808,469.0,0,0,1,0,0
7,2010,7,7,9E,MEM,TN,1620,1808,469.0,0,0,1,0,0
8,2010,7,4,9E,MEM,TN,1620,1808,469.0,1,0,1,0,0
9,2010,7,1,9E,MEM,TN,1620,1808,469.0,0,0,1,0,0
10,2010,7,2,9E,MEM,TN,1620,1808,469.0,0,0,0,0,1
11,2010,7,4,9E,MEM,TN,1620,1808,469.0,0,0,1,0,0
12,2010,7,5,9E,ATL,GA,1036,1344,689.0,0,0,1,0,0
13,2010,7,2,9E,ATL,GA,1036,1344,689.0,0,0,1,0,0
14,2010,7,2,9E,ATL,GA,1036,1344,689.0,1,0,0,0,0
15,2010,7,5,9E,ATL,GA,1036,1344,689.0,0,0,1,0,1
16,2010,7,1,9E,ATL,GA,1036,1344,689.0,0,0,1,0,0
17,2010,7,2,9E,ATL,GA,1036,1344,689.0,0,0,1,0,0
18,2010,7,4,9E,ATL,GA,1036,1344,689.0,0,0,1,0,1
19,2010,7,1,9E,ATL,GA,1036,1344,689.0,0,0,1,0,0
20,2010,7,2,9E,ATL,GA,1036,1344,689.0,0,0,1,0,1
21,2010,7,3,9E,ATL,GA,540,852,689.0,1,0,0,0,0
22,2010,7,2,9E,ATL,GA,540,852,689.0,1,0,1,0,0
23,2010,7,4,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
24,2010,7,5,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
25,2010,7,2,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
26,2010,7,3,AA,DFW,TX,1935,2055,224.0,0,1,0,0,1
27,2010,7,4,AA,DFW,TX,1935,2055,224.0,0,1,0,0,1
28,2010,7,5,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
29,2010,7,2,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
30,2010,7,5,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
31,2010,7,7,AA,DFW,TX,1935,2055,224.0,0,1,1,0,1
32,2010,7,1,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
33,2010,7,2,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
34,2010,7,5,AA,DFW,TX,1935,2055,224.0,0,0,0,0,1
35,2010,7,5,AA,MIA,FL,600,925,964.0,0,0,1,0,0
36,2010,7,5,AA,DFW,TX,900,1020,224.0,0,0,0,0,1
37,2010,7,3,AA,DFW,TX,900,1020,224.0,0,0,1,0,1
